"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 18 17:18:48 UTC 2025","Tue Nov 18 17:18:53 UTC 2025","4677","firefox","","User registration > Corporate > Existing account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:19:06 UTC 2025","Tue Nov 18 17:19:12 UTC 2025","5942","firefox","","User registration > Corporate > New account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:19:18 UTC 2025","Tue Nov 18 17:19:33 UTC 2025","14873","firefox","","User registration > Individual account","","","Verify that user is able to register a new account with valid information",""
"passed","Tue Nov 18 17:20:13 UTC 2025","Tue Nov 18 17:20:24 UTC 2025","10867","webkit","","User registration > Corporate > Existing account","","","Verify that user is able to register a new account with valid information",""
"passed","Tue Nov 18 17:18:20 UTC 2025","Tue Nov 18 17:18:23 UTC 2025","3443","chromium","","User registration > Individual account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:17:35 UTC 2025","Tue Nov 18 17:17:41 UTC 2025","5355","chromium","","User registration > Corporate > Existing account","","","Verify that validation error displays when user submits registration without selecting Inquiry Type",""
"passed","Tue Nov 18 17:18:53 UTC 2025","Tue Nov 18 17:19:00 UTC 2025","7025","firefox","","User registration > Corporate > Existing account","","","Verify that validation error displays when user submits registration without selecting Inquiry Type",""
"passed","Tue Nov 18 17:19:59 UTC 2025","Tue Nov 18 17:20:13 UTC 2025","14312","webkit","","Static Pages","","","Verify that all footer links load successfully without errors",""
"passed","Tue Nov 18 17:21:29 UTC 2025","Tue Nov 18 17:21:35 UTC 2025","6002","webkit","","User registration > Individual account","","","Verify that validation error displays when user submits registration without entering Full Name",""
"passed","Tue Nov 18 17:17:41 UTC 2025","Tue Nov 18 17:17:48 UTC 2025","7348","chromium","","User registration > Corporate > New account","","","Verify that user is able to register a new account with valid information",""
"passed","Tue Nov 18 17:18:23 UTC 2025","Tue Nov 18 17:18:27 UTC 2025","3601","chromium","","User registration > Individual account","","","Verify that validation error displays when user submits registration without entering Full Name",""
"passed","Tue Nov 18 17:17:31 UTC 2025","Tue Nov 18 17:17:35 UTC 2025","4770","chromium","","User registration > Corporate > Existing account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:21:06 UTC 2025","Tue Nov 18 17:21:23 UTC 2025","17408","webkit","","User registration > Individual account","","","Verify that user is able to register a new account with valid information",""
"passed","Tue Nov 18 17:17:24 UTC 2025","Tue Nov 18 17:17:31 UTC 2025","6641","chromium","","User registration > Corporate > Existing account","","","Verify that user is able to register a new account with valid information",""
"passed","Tue Nov 18 17:17:19 UTC 2025","Tue Nov 18 17:17:24 UTC 2025","5158","chromium","","Static Pages","","","Verify that all footer links load successfully without errors",""
"passed","Tue Nov 18 17:21:23 UTC 2025","Tue Nov 18 17:21:29 UTC 2025","5577","webkit","","User registration > Individual account","","","Verify that required errors display when user submits registration form without entering any information",""
"passed","Tue Nov 18 17:17:52 UTC 2025","Tue Nov 18 17:17:58 UTC 2025","6310","chromium","","User registration > Corporate > New account","","","Verify that validation error displays when user submits registration without selecting Inquiry Type",""
"passed","Tue Nov 18 17:20:31 UTC 2025","Tue Nov 18 17:20:38 UTC 2025","7065","webkit","","User registration > Corporate > Existing account","","","Verify that validation error displays when user submits registration without selecting Inquiry Type",""
"passed","Tue Nov 18 17:19:41 UTC 2025","Tue Nov 18 17:19:58 UTC 2025","16510","webkit","","Car Finding","","","Verify that user is able to find a car with valid information",""
